Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),TZCUB5:Zone Mean Air Temperature [C](TimeStep),TZCUB6:Zone Mean Air Temperature [C](TimeStep),TZCUB7:Zone Mean Air Temperature [C](TimeStep),TZLABORATORIOS:Zone Mean Air Temperature [C](TimeStep),TZTECHOCUB5:Zone Mean Air Temperature [C](TimeStep),TZTECHOCUB6:Zone Mean Air Temperature [C](TimeStep),TZTECHOCUB7:Zone Mean Air Temperature [C](TimeStep),TZCUB7 PERSONAS:Zone Thermal Comfort Fanger Model PMV [](TimeStep),TZCUB7 PERSONAS:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),TZCUB6 PERSONAS:Zone Thermal Comfort Fanger Model PMV [](TimeStep),TZCUB6 PERSONAS:Zone Thermal Comfort Fanger Model PPD [%](TimeStep),TZCUB5 PERSONAS:Zone Thermal Comfort Fanger Model PMV [](TimeStep),TZCUB5 PERSONAS:Zone Thermal Comfort Fanger Model PPD [%](TimeStep) 
 05/03  14:20:00,32.4,29.70865986813559,29.526426629769746,30.26373170662223,29.009697519329654,27.6569442045924,27.48949551687339,29.075521750011548,0.9838231726929957,25.44349565020434,1.3743206548624583,44.14820703990338,1.4545007369098087,48.43592350365523 
 05/03  14:30:00,32.8,29.85735177853808,29.635557203916837,30.449003026432444,29.172330727002114,27.850694897600975,27.65686133399666,29.110614887958339,1.036219036138371,27.669293287940975,1.420275682794993,46.59532832568171,1.5159224026565759,51.76573688638592 
 05/03  14:40:00,33.7,29.976114934178314,29.725475411794869,30.612430473475845,29.291820152031705,28.003944362954493,27.79682699211787,28.785450465971019,1.0849074614246,29.827862749730245,1.4604724998843313,48.758365982106628,1.5686215979498644,54.636261488786917 
 05/03  14:50:00,32.9,30.04833235390564,29.762405513859993,30.561001741825604,29.425530773242536,28.112782332173837,27.893553742739056,29.58861577364814,1.0782593898912443,29.528167604723167,1.4687342556014065,49.20500139206643,1.5925516475184585,55.939861183519159 
 05/03  15:00:00,33.3,30.149879675606223,29.831013037239076,30.655122276772095,29.551775536032026,28.268938452599877,28.032204688792846,29.235566417121903,1.1112371030658135,31.0297442078472,1.5000898616094718,50.90501739320711,1.6389299572389984,58.460046201144297 
 05/03  15:10:00,33.9,30.30262365541047,29.943332068228619,30.993389817495829,29.70250513320549,28.452306579691716,28.193954342276905,30.924692959596265,1.1906730475133869,34.79290458126896,1.5483040812485352,53.52905157043382,1.7030892161455039,61.91699631229642 
 05/03  15:20:00,33.6,30.430766376133,30.01995009160245,31.106666695739859,29.874619497072997,28.59728792134727,28.31790614930988,30.73713858502215,1.2131435159366054,35.89224352559411,1.5680270491413278,54.60386196724934,1.744937731409681,64.1421838426183 
 05/03  15:30:00,32.9,30.48104362141999,30.03209169896915,30.85320688061556,29.997535818447827,28.718958437996688,28.421869139493823,29.330531129612937,1.1734702934931046,33.96127620585051,1.5716836297206678,54.803119949918798,1.7661940360009663,65.26064986837773 
 05/03  15:40:00,33.3,30.543421536083899,30.063329863875695,30.902413241886206,30.123054654200098,28.84510181224239,28.533978233351549,29.45067442584721,1.1904319917548774,34.78119052032777,1.5865818355232824,55.61476801745866,1.7972717141435409,66.87911324186442 
 05/03  15:50:00,33.5,30.608545887071587,30.085226669261659,31.1634917031719,30.303152084952996,28.981341605656455,28.64826989128141,30.739196466249824,1.2290093085393755,36.67703376835768,1.5921131744743785,55.91598714494447,1.8214205060019524,68.12133553102945 
 05/03  16:00:00,32.9,30.636560815234966,30.062242414679475,31.275504292021819,30.511537795169983,29.080729104068383,28.72610673139982,30.900919328743308,1.222275011126846,36.34307890877717,1.5741226407871672,54.93602121315362,1.8231581819899299,68.21016230944074 
 05/03  16:10:00,32.6,30.6524432201171,30.053410403534178,31.521665232519969,30.658941426457454,29.18680075595659,28.80564038795702,31.540291118788156,1.2803283402054205,39.2609052470783,1.5743037236420104,54.94588808967195,1.836408744821887,68.88491351064462 
 05/03  16:20:00,30.9,30.643504932617888,30.01120579390651,30.878624077133265,30.81168618943891,29.219926121127079,28.81372816991248,30.47495614999881,1.1295246753060445,31.87824933233334,1.5473547514902238,53.477323187217788,1.8244008399258085,68.27363701546295 
 05/03  16:30:00,29.4,30.609251435915906,29.93582025394368,30.114603326947486,31.01455649067782,29.273521528801298,28.8512837082392,29.368179251614838,0.9317272887679531,23.334988759488114,1.5120000124425304,51.55238629548449,1.8054830720049407,67.30310095115252 
 05/03  16:40:00,29.0,30.60539971376828,29.913260218201203,30.058954580864847,31.099544269607106,29.30633503071561,28.877120962783246,29.067913551791766,0.9192319214904483,22.845213888137594,1.5007076503079926,50.93857824761816,1.804316797982292,67.24297898637257 
