Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),TZCUB5:Zone Mean Air Temperature [C](TimeStep),TZCUB6:Zone Mean Air Temperature [C](TimeStep),TZCUB7:Zone Mean Air Temperature [C](TimeStep),TZLABORATORIOS:Zone Mean Air Temperature [C](TimeStep),TZTECHOCUB5:Zone Mean Air Temperature [C](TimeStep),TZTECHOCUB6:Zone Mean Air Temperature [C](TimeStep),TZTECHOCUB7:Zone Mean Air Temperature [C](TimeStep) 
 05/03  13:30:00,31.8,29.2751213682443,29.237984436948094,29.63391343686046,28.37977157639469,26.90883784941591,26.80075011184777,28.461710220222238 
 05/03  13:40:00,31.6,29.349921561907519,29.293488870992449,29.715503522899938,28.490889365768184,27.05010688740606,26.93160863355818,27.844913478932005 
 05/03  13:50:00,32.8,29.4788312883854,29.396098769545199,29.86096558141963,28.630628952713164,27.240361260706125,27.105674060943654,29.18077074938421 
 05/03  14:00:00,33.5,29.631393847808675,29.515103200776737,30.000223118161498,28.782930935915134,27.426411778569944,27.268188057015327,29.46620636494364 
 05/03  14:10:00,31.8,29.639856886307777,29.493101634994575,29.981472960433995,28.90305674932102,27.500264963211895,27.348962166250744,28.524244320458416 
 05/03  14:20:00,32.4,29.710502745258454,29.539039992731405,30.054057101538754,29.010082027220304,27.657924609426425,27.493847189245835,29.083234763602769 
 05/03  14:30:00,32.8,29.858324782421496,29.647247024541707,30.190883070498168,29.1717988742687,27.850933802282055,27.660589813157619,29.119557858236637 
 05/03  14:40:00,33.7,29.97743121692708,29.737155128135627,30.305020393405074,29.291714391251575,28.004420928821255,27.800695306671178,28.7928398173584 
 05/03  14:50:00,32.9,30.049632181485653,29.773882674236746,30.32819436115217,29.425396088002875,28.113207146751088,27.89744046193406,29.598199399546986 
 05/03  15:00:00,33.3,30.151184025916299,29.84226044850753,30.408159171804664,29.551641612923868,28.269369006748425,28.036123990567064,29.243370982499124 
 05/03  15:10:00,33.9,30.303955027617865,29.954273033271258,30.58948416654926,29.702398929451463,28.452747237807018,28.197884414605839,30.935230020546859 
 05/03  15:20:00,33.6,30.432124305953459,30.03058254644877,30.692651698572957,29.87453274204282,28.597733502823855,28.321861754940718,30.747575791607408 
 05/03  15:30:00,32.9,30.482416892805298,30.042531497633239,30.634793307190404,29.997448765753768,28.71940477302682,28.425885782545888,29.34599770889342 
